iter	Passed	Remaining
0	2	2923
1	6	3007
2	8	2954
3	11	2913
4	14	2891
5	17	2879
6	20	2898
7	23	2916
8	26	2911
9	29	2916
10	32	2917
11	35	2945
12	38	2951
13	42	2979
14	45	3007
15	49	3035
16	52	3063
17	56	3063
18	59	3056
19	62	3051
20	65	3048
21	69	3068
22	72	3061
23	75	3056
24	78	3050
25	81	3048
26	84	3058
27	88	3057
28	91	3050
29	94	3047
30	97	3048
31	100	3046
32	103	3044
33	106	3037
34	109	3028
35	113	3028
36	116	3028
37	119	3029
38	122	3030
39	126	3028
40	129	3027
41	133	3049
42	137	3056
43	140	3054
44	143	3050
45	146	3043
46	149	3039
47	152	3032
48	155	3025
49	158	3018
50	161	3012
51	165	3009
52	168	3002
53	170	2994
54	174	2996
55	177	2999
56	182	3013
57	185	3014
58	189	3018
59	192	3017
60	195	3016
61	199	3015
62	202	3016
63	206	3015
64	209	3012
65	212	3010
66	215	3005
67	218	3001
68	222	2997
69	225	2992
70	228	2988
71	231	2983
72	234	2977
73	237	2971
74	240	2965
75	243	2959
76	246	2956
77	249	2950
78	252	2944
79	255	2938
80	258	2932
81	262	2933
82	265	2928
83	268	2923
84	271	2919
85	274	2914
86	277	2913
87	280	2908
88	283	2903
89	286	2899
90	289	2895
91	293	2894
92	296	2889
93	299	2883
94	302	2878
95	305	2873
96	308	2872
97	311	2871
98	314	2866
99	318	2863
100	321	2864
101	326	2871
102	330	2873
103	333	2871
104	336	2870
105	340	2872
106	344	2875
107	348	2875
108	351	2876
109	355	2877
110	359	2879
111	362	2877
112	366	2875
113	369	2872
114	373	2871
115	376	2870
116	380	2867
117	383	2866
118	386	2864
119	390	2863
120	393	2860
121	397	2857
122	400	2857
123	404	2858
124	408	2858
125	411	2854
126	414	2851
127	418	2848
128	421	2846
129	424	2844
130	428	2840
131	431	2835
132	434	2832
133	438	2832
134	441	2830
135	444	2826
136	447	2821
137	450	2816
138	454	2812
139	457	2808
140	460	2805
141	463	2801
142	466	2796
143	469	2793
144	473	2791
145	476	2785
146	479	2780
147	482	2775
148	485	2771
149	488	2767
150	491	2762
151	494	2757
152	497	2751
153	500	2747
154	503	2744
155	506	2739
156	509	2735
157	512	2730
158	515	2725
159	518	2722
160	521	2718
161	524	2713
162	527	2708
163	530	2703
164	533	2699
165	536	2694
166	539	2690
167	542	2685
168	545	2680
169	548	2676
170	551	2674
171	554	2670
172	557	2666
173	560	2663
174	564	2660
175	567	2659
176	571	2656
177	574	2651
178	577	2647
179	580	2643
180	583	2640
